"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.279854560E-1,-6.952570081E-1,2.441874981E0,9.249452591E0,9.591585321E0
5.299854560E-1,-7.345410585E-1,2.421323299E0,9.215971947E0,9.557012923E0
5.319854560E-1,-7.295420170E-1,2.417013645E0,9.218605042E0,9.558078543E0
5.339885810E-1,-7.080036998E-1,2.421811581E0,9.243802071E0,9.581978777E0
5.359854560E-1,-6.506482363E-1,2.445303440E0,9.255954742E0,9.595600567E0
5.379854560E-1,-6.028982997E-1,2.469647646E0,9.269238472E0,9.611525774E0
5.399854560E-1,-5.702605844E-1,2.495275497E0,9.289933205E0,9.636101696E0
5.419854560E-1,-5.196088552E-1,2.525518894E0,9.317801476E0,9.667971007E0
5.439854560E-1,-4.812058210E-1,2.550207853E0,9.310925484E0,9.665839462E0
5.459854560E-1,-4.222318530E-1,2.600869179E0,9.280117035E0,9.646935908E0
5.479870180E-1,-3.600209057E-1,2.621459246E0,9.250007629E0,9.621034496E0
5.499885810E-1,-3.279002905E-1,2.632549286E0,9.233114243E0,9.606676478E0
5.519870180E-1,-3.005202115E-1,2.635259628E0,9.237979889E0,9.611200660E0
5.539870180E-1,-2.734944522E-1,2.636696100E0,9.250984192E0,9.623288111E0
5.559854560E-1,-2.620310187E-1,2.625222921E0,9.269295692E0,9.637442517E0
5.579948310E-1,-2.679303288E-1,2.622761726E0,9.283019066E0,9.650135165E0
5.599979560E-1,-2.606902421E-1,2.620176077E0,9.293448448E0,9.659268406E0
5.619854560E-1,-2.401575744E-1,2.608272076E0,9.296934128E0,9.658868622E0
5.640354560E-1,-2.247772366E-1,2.598321676E0,9.292308807E0,9.651362770E0
5.660010810E-1,-2.105365098E-1,2.616115570E0,9.289080620E0,9.652740806E0
5.679870180E-1,-1.834724545E-1,2.604718924E0,9.296092033E0,9.655855731E0
5.699854560E-1,-1.789617985E-1,2.581399679E0,9.341217995E0,9.692987427E0
5.719854560E-1,-1.853399426E-1,2.579608679E0,9.357067108E0,9.707905886E0
