t_s,vx,vy,vz
4.221111999999999,41.63159035828055,0.5394616651454948,-0.9569810557524165
4.2261169999999995,41.67446892542684,0.5460809876874619,-0.9500736756564925
4.231121999999999,41.717269476985585,0.5523882478793081,-0.9446966013159652
4.236126999999999,41.759175849887264,0.5582574205411782,-0.9408258279346705
4.2411319999999995,41.79976195899998,0.5645586795339848,-0.9385573746972602
4.246136999999999,41.83927985468343,0.5720241711406989,-0.9382213075509772
4.251141999999999,41.877807552525155,0.5800957838505306,-0.939643591723639
4.256146999999999,41.91567511847239,0.5883294289344629,-0.9418460317716005
4.261151999999999,41.95315260648199,0.5965150644260706,-0.9436583938819125
4.266156999999999,41.9906180920935,0.6041785956011301,-0.9442405101888669
4.271161999999999,42.02854567003114,0.610851928934463,-0.943208303953855
4.276166999999999,42.06721739664985,0.6165290632270297,-0.9406097847692024
4.281171999999999,42.106591263556325,0.6214200404452549,-0.9365229682224401
4.286176999999999,42.14685930911987,0.6255128581910581,-0.9312239094694428
4.291181999999999,42.188471623268555,0.6291855920040081,-0.9253247308123678
4.296186999999999,42.23170426115824,0.6326902922438161,-0.9192815233783154
4.301191999999999,42.27673125756112,0.6356848905651589,-0.9133463375269968
4.306196999999999,42.32367263645801,0.6379533438025692,-0.9077712236181232
4.311201999999999,42.37308050816064,0.6392916111886602,-0.9028382380066128
4.316206999999999,42.42533894940764,0.6398437215004108,-0.8985653842895867
4.321211999999999,42.47991985468342,0.6398317191023293,-0.8948086336900658
4.326216999999999,42.536361131661835,0.6392376003972934,-0.8915439814118885
4.331221999999999,42.59458476475535,0.6381693869680368,-0.8891014934022963
4.336226999999999,42.654296695210995,0.6362670068721133,-0.8877152164238789
4.341231999999999,42.714680759959194,0.6330203581910584,-0.8871030941217206
4.346236999999999,42.77490879353233,0.6287715092701953,-0.8872411216996583
4.351241999999999,42.83451270240524,0.6243606279752307,-0.8882793291337112
4.356246999999999,42.89291037027095,0.6201237814524492,-0.8902177164238789
4.361251999999999,42.94959769641003,0.6159649505171976,-0.8928402404046941
4.366256999999999,43.004892744371666,0.6118481279752307,-0.8958528423231596
4.371261999999999,43.059491653244564,0.6075272646658785,-0.8992795269754377
4.376266999999999,43.113892522549115,0.6023482298936965,-0.9030242751768763
4.381271999999999,43.16848543022298,0.5960229661047269,-0.9065169730186033
4.386276999999999,43.223378397848876,0.589091581212641,-0.9095715833303538
4.391281999999999,43.27814534029491,0.5823762394860227,-0.9131542991576918
4.396286999999999,43.332000100486766,0.5768011255771491,-0.9182853243375485
4.401291999999999,43.38430655132609,0.5731824025555666,-0.9253727404046944
4.406296999999999,43.434872654443595,0.5715020668241518,-0.9347226085102095
4.411301999999999,43.483950460199,0.5710279720999312,-0.9463649346492996
4.416306999999999,43.53206207290883,0.5709439553133604,-0.9598676324910255
4.421311999999999,43.57962757650595,0.5707039073517297,-0.9747025965198016
4.426316999999999,43.62684501055871,0.5701517970399791,-0.9903417212200433
4.431321999999999,43.67378038825655,0.5692156099896194,-1.0064189334502582
4.436326999999999,43.720457714395636,0.5677393150255907,-1.0225681600689622
4.441331999999999,43.767393092093485,0.5654708617881804,-1.0382672967596116
4.446336999999999,43.815258655642644,0.5620021687426171,-1.0529342272152462
4.451341999999999,43.86421643741722,0.557315232291778,-1.0658248027548138
4.456346999999999,43.913852354683414,0.552064183131106,-1.0761648687020573
4.461351999999999,43.96376432710547,0.5470711855291878,-1.0837023746972607
4.466356999999999,44.01428242063065,0.5430623845699554,-1.0888874106684834
4.471361999999999,44.06627080792082,0.5404158557929767,-1.0922060737380281
4.476366999999999,44.12053364964744,0.5386575044740319,-1.093958423857932
4.481371999999999,44.17755104173377,0.536827138766598,-1.0944385197811934
4.486376999999999,44.237352990175026,0.5345346807330247,-1.093748381891505
4.491381999999999,44.299333373868066,0.5321882119080847,-1.0919120149850303
4.496386999999999,44.3626820309424,0.5302918330112023,-1.0890254382464213
4.501391999999999,44.42649278034289,0.5288215392462141,-1.085070648078555
4.506396999999999,44.489859441014346,0.52745926706396,-1.0801136576708814
4.511401999999999,44.55236793022298,0.526169009270195,-1.0743104981984597
4.516406999999999,44.613772198808114,0.5252028162246314,-1.0677631900449818
4.521411999999999,44.67359215084648,0.5247647286946554,-1.060465732011409
4.526416999999999,44.73108363765703,0.5250647886466937,-1.0523641133063735
4.531421999999999,44.785790568112674,0.5262650284548474,-1.0435063435221998
4.536426999999999,44.83737087386807,0.5289235596299071,-1.0342044850090109
