c1,c2,c3
3502,-25,2940
3270,-70,2409
3283,-459,1025
4613,-294,-1686
3651,714,-26
3703,160,2406
2726,95,2016
2741,159,1385
3503,219,640
3640,871,752
3156,594,1149
3047,-140,101
3520,122,-277
3897,576,1971
4400,95,3253
3774,-182,2633
3692,20,1704
3346,87,1946
3236,145,602
3794,623,-683
3889,299,1191
4041,-358,2307
3803,-332,3080
4578,267,1533
4768,713,96
4992,269,103
4331,-212,6
4498,-311,856
5558,157,2369
6183,113,2515
5072,320,1356
3910,164,-349
4457,-151,-1826
4552,154,396
4352,662,2815
4239,315,2574
4305,-235,1083
3936,-447,-170
3033,-424,229
2699,487,1514
3306,355,1042
2800,-361,930
2653,-269,1153
2783,216,2672
2782,252,1959
2955,200,-1373
3696,-503,-60
3325,113,2468
3114,724,3999
3361,342,4184
3956,608,1674
3447,155,292
3084,-121,-414
3062,632,148
4540,1044,3257
5671,840,3816
5884,280,1541
4485,-153,1233
3333,439,506
3941,-48,304
5584,234,-352
4869,1361,1982
4236,806,3241
3854,-42,2550
3567,-688,1738
4435,-351,-1329
3553,969,-479
3530,712,1998
3349,-136,2291
3788,-502,1727
4646,-192,1359
4753,500,1419
3373,763,2490
3099,-11,1568
3051,-125,267
3297,-94,1094
3922,250,1996
3838,713,1894
4065,147,1251
3861,410,1061
3768,829,2859
4891,6,2858
3899,331,1143
3439,268,180
3874,201,424
4257,972,534
4408,781,1587
5006,-267,2371
3919,-279,1726
2431,341,864
2818,-84,745
4121,-146,-488
3986,719,669
3686,511,3850
2866,302,2955
2401,40,668
3408,-226,-20
3836,728,111
3375,637,1485
3213,-261,2720
3213,-182,2667
3945,133,634
4937,492,145
4359,644,1640
2754,528,1004
3311,-594,341
3972,-277,1424
5148,786,2818
4980,1339,3387
3635,577,2461
3063,245,214
3109,316,52
4864,-150,-303
4083,482,1251
3764,576,2668
4493,969,2796
4853,779,2866
5152,896,1161
4060,985,-264
3422,516,401
3859,225,1455
4673,506,1948
5621,660,1380
4018,951,2806
3474,303,2924
3017,323,556
3350,1175,-68
3750,1761,1507
4648,851,2742
3578,614,1866
3509,150,1630
3717,487,2255
3707,779,320
3480,592,-62
3222,112,1641
3501,339,1024
3710,512,1870
5385,274,1661
4667,1160,1577
3018,1423,1372
2758,161,-553
3293,-762,-1367
3342,508,422
2948,855,3845
2286,764,3476
2480,-70,542
2834,-583,507
1974,22,657
2426,351,573
3197,644,2057
2867,1439,3134
1991,614,3012
2952,-473,2465
3525,353,816
2928,1423,199
3308,1543,774
4973,1030,1149
6007,475,2228
6107,-231,3592
5866,58,3055
5350,1153,331
5640,713,-41
4678,617,915
4548,80,675
4996,-351,23
5213,378,388
3954,1123,2887
3564,434,3269
3857,-16,616
4123,-155,-69
3229,907,1934
2249,1299,3134
2378,14,1952
3169,-304,849
3951,530,1441
3749,1510,3022
3286,970,2895
3631,82,1230
4392,1030,995
4985,1107,1746
4695,470,1292
4611,443,1629
5178,929,2650
4688,1258,1299
4541,452,780
5151,35,142
4486,707,787
3554,1614,1956
4943,602,926
4907,267,826
4038,412,2676
3552,558,3073
2719,1058,1949
3549,423,1244
3735,453,1205
2605,210,1680
2333,-69,1473
3758,351,535
4694,1321,802
5143,868,2166
3956,-92,1810
3743,465,802
4303,338,2148
4900,418,102
4070,335,74
3796,257,1156
2689,622,597
3668,-12,63
4591,-33,1196
4102,888,2181
2415,1172,1683
2680,512,56
2740,163,441
2900,55,1696
2283,1025,2888
3123,537,1878
2687,-97,14
2115,-294,1356
1859,448,2865
3117,709,2535
3991,958,1404
3545,881,608
3590,351,2041
4641,433,1611
6235,589,448
5918,528,1755
4896,972,2317
4630,-67,2364
5668,-80,505
4969,896,202
4203,849,1449
2905,274,610
3028,179,457
4483,110,2144
4405,709,2828
2551,1299,1947
2222,204,1966
2903,-1410,2000
3355,556,68
3926,1572,2746
4077,448,4696
3002,769,2050
3794,-57,2003
5834,-605,771
4988,1178,1043
4678,1437,3294
5373,512,2594
4961,594,1110
6657,333,-43
5516,972,1118
4053,1261,1454
4297,-69,1142
4433,-912,909
4296,19,-281
3648,1393,1319
3257,1322,3391
2164,605,2380
1909,-363,1126
2314,-129,4
2326,843,202
2124,810,2127
2340,-192,3390
2683,-101,2837
3340,502,1676
3996,710,2155
3588,788,1148
3134,708,473
4522,-480,1181
5220,-8,489
5242,1009,1293
5192,986,3043
4316,880,1048
4362,139,388
5697,226,-791
4520,1435,281
3381,1049,1320
2943,-345,1754
2965,-610,1567
2855,146,-339
2509,1076,-929
2073,1518,1469
1631,480,4171
1544,-444,2877
1907,-175,-256
1498,875,537
1125,1634,2043
946,1108,2206
2441,-506,1554
3951,-259,1108
4699,450,2344
4695,918,3075
4675,1257,2329
4555,666,1101
5466,469,-214
6344,-133,509
6182,221,1308
5517,1673,2037
5847,682,2852
5425,190,551
4234,706,-749
3236,1020,454
3884,37,1445
4003,-25,1853
3635,847,2590
3769,721,3959
3267,338,796
2134,179,-1842
3208,-916,96
3146,108,2420
3314,784,2595
4028,-144,3237
4424,-904,2327
3140,-344,1036
3327,-492,159
4572,-362,-1246
5032,15,555
6050,176,3161
6143,73,3747
6407,91,1292
6293,423,-917
5234,609,-1167
4652,683,-492
5013,-176,1192
5565,-478,891
4802,-287,917
3768,118,1348
2485,231,1399
2450,-595,269
2433,-596,-950
2568,-326,106
2561,-295,1511
2232,-933,2458
2399,-548,2345
4033,-1138,1825
4127,-1217,331
3821,-551,-513
5118,-819,601
6104,-557,1430
6610,-330,682
6928,-105,320
6924,-62,56
6161,49,810
5447,168,1065
5207,-423,-458
5031,-730,-433
4155,322,1205
4052,-310,3004
3992,-760,1757
4466,-821,-647
4064,-840,-1395
2864,-125,519
2975,-566,2925
4209,-1174,1398
4746,-1843,420
4576,-1298,15
3077,-208,-571
3229,-761,119
3765,-1558,556
5298,-2278,628
4932,-1494,1424
4026,-642,1424
3511,-534,291
4129,-1385,-436
4911,-1353,-533
4246,-494,818
3771,-172,2186
4177,-1321,1777
4748,-1867,63
4871,-1645,15
3465,-340,473
3691,-707,1351
5651,-1918,2152
6517,-1803,1876
5961,-1190,874
5441,-1094,289
5043,-375,412
6161,-703,1348
6479,-1532,1909
6181,-877,1502
6253,-412,1106
5691,-846,1486
5407,-1572,1652
6297,-1693,-199
6477,-325,-38
6545,-13,1733
5799,-900,2471
5622,-1747,1458
7170,-1986,-142
6946,-1139,-645
5708,-200,-65
5217,-903,1309
5453,-1891,1102
5318,-1366,-791
4717,-648,-904
3720,-1073,277
2447,-1046,683
3433,-1512,-596
3697,-1855,-496
2884,-382,479
2711,-38,1440
2285,-1296,2071
2599,-2030,-227
2760,-2204,-1400
2471,-1773,-889
2837,-731,1284
3256,-517,3453
3714,-1942,2990
4249,-2634,-189
4121,-1085,-529
4201,465,1695
4804,502,1854
5729,-22,252
6924,-977,38
6634,-717,1306
5879,118,2553
5880,-121,2661
7119,-611,262
7359,-855,-999
6276,-1098,-351
5494,-453,911
6363,-1164,1731
7318,-1704,1181
6159,-546,952
4660,-59,1047
3530,-301,540
3292,-1368,-1035
3874,-1988,-130
3872,-309,1071
3180,471,3267
3207,-785,3112
4145,-2022,322
4288,-2100,-146
4064,-1508,106
3743,-475,-597
4108,-122,1290
4727,-1378,1996
4803,-1841,1357
4888,-1046,140
4544,-680,320
4231,-168,1245
3471,503,134
4856,-646,940
5009,-1424,603
4246,-878,-165
3792,385,837
4467,57,1512
5115,-1299,907
5279,-2033,-514
4389,-1124,502
3522,-37,1424
4159,-861,1801
4809,-820,625
5204,-1062,1082
4445,-807,1714
3637,-911,1178
4320,-1296,-245
5704,-832,736
5035,-430,2410
5539,-1263,2766
5930,-1884,633
5833,-1719,-972
6228,-1389,1
6581,-1018,700
6768,-610,2008
