GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:04:23 GMT+02:00 2022,24-Jun-2022 20:04:24.564,-5.789318587219588,37.18931855593438,4.923166751861572,4.390271186828613,93.6649871096015,79.39949035644531,-3.70679879,7.27007961,7.06612253,0.0579622,
Fri Jun 24 20:04:24 GMT+02:00 2022,24-Jun-2022 20:04:25.564,-5.7892630720029965,37.18934805706812,5.769388675689697,4.699999809265137,93.82404492329806,40.18864822387695,-2.85166645,6.44379282,6.39997911,-0.01064843,
Fri Jun 24 20:04:25 GMT+02:00 2022,24-Jun-2022 20:04:26.564,-5.789231398491926,37.189403796434554,6.78673791885376,4.699999809265137,93.86686256434768,10.598712921142578,-2.61488008,7.09453678,7.29098606,0.08971745,
Fri Jun 24 20:04:26 GMT+02:00 2022,24-Jun-2022 20:04:27.564,-5.789236371327525,37.18947502697221,7.244897842407227,4.699999809265137,93.92310871183872,338.0806884765625,-0.54266971,7.62963152,6.12251043,0.01772517,
Fri Jun 24 20:04:27 GMT+02:00 2022,24-Jun-2022 20:04:28.564,-5.789288233864119,37.18953964645409,8.420180320739746,4.699999809265137,93.95315207354724,316.4707336425781,0.28869283,7.26327038,5.84790468,-0.02999783,
Fri Jun 24 20:04:28 GMT+02:00 2022,24-Jun-2022 20:04:29.563,-5.789374905227061,37.18959559135839,9.117948532104492,4.699999809265137,94.12375533115119,308.30548095703125,-0.4367311,7.42440987,6.8285985,0.04822022,
Fri Jun 24 20:04:29 GMT+02:00 2022,24-Jun-2022 20:04:30.563,-5.789461501319006,37.18965170973373,9.239007949829102,4.699999809265137,94.41653834376484,313.3365478515625,-0.84386033,7.41168213,5.82183647,-0.01930784,
Fri Jun 24 20:04:30 GMT+02:00 2022,24-Jun-2022 20:04:31.563,-5.789539263740491,37.18971182385276,10.025439262390137,4.699999809265137,94.89136976283044,319.6287536621094,-0.91271758,7.08559227,5.82239199,-0.04152691,
Fri Jun 24 20:04:31 GMT+02:00 2022,24-Jun-2022 20:04:32.564,-5.789608958533206,37.18978382529259,10.431488990783691,4.699999809265137,95.20946402382106,326.0281066894531,-1.73412025,7.64752102,5.74410152,0.00986785,
Fri Jun 24 20:04:32 GMT+02:00 2022,24-Jun-2022 20:04:33.563,-5.789679140426622,37.189861755832716,11.141254425048828,4.815549373626709,95.59573601558805,327.2007141113281,-1.28285158,7.53997326,6.49928093,0.06215513,
Fri Jun 24 20:04:33 GMT+02:00 2022,24-Jun-2022 20:04:34.564,-5.789748629337753,37.189951527430225,11.947416305541992,4.789168834686279,95.86212580744177,328.3702392578125,0.40005195,5.4533596,6.38442612,-0.06183273,
Fri Jun 24 20:04:34 GMT+02:00 2022,24-Jun-2022 20:04:35.563,-5.789820577698425,37.19004473569802,12.335216522216797,4.768256664276123,96.15153616759926,327.84991455078125,-0.79415667,5.90011787,8.58608627,0.08404654,
Fri Jun 24 20:04:35 GMT+02:00 2022,24-Jun-2022 20:04:36.564,-5.789893362984507,37.19013640179701,11.84496021270752,4.717691898345947,96.60510568600148,326.8177490234375,-0.41164947,5.09073353,9.24499893,0.07288754,
Fri Jun 24 20:04:36 GMT+02:00 2022,24-Jun-2022 20:04:37.564,-5.789963722948528,37.190224759358856,10.81723403930664,4.6437668800354,96.70221939589828,326.9069519042969,-0.08991664,4.84086514,9.12703228,0.04983317,
